q-maozhongte-3	SKIP	A	
q-maozhongte-4	OK	C	C
q-maozhongte-5	OK	B	B
q-maozhongte-6	OK	B	B
q-maozhongte-7	OK	A	A
q-maozhongte-8	OK	C	C
q-maozhongte-9	OK	ACD	ACD
q-maozhongte-10	OK	AB	AB
q-maozhongte-11	OK	ABC	ABC
q-maozhongte-12	SKIP	ABCD	
q-maozhongte-13	SKIP	ABCD	
q-maozhongte-15	OK	C	C
q-maozhongte-16	OK	B	B
q-maozhongte-17	OK	D	D
q-maozhongte-18	OK	C	C
q-maozhongte-19	OK	A	A
q-maozhongte-20	OK	A	A
q-maozhongte-21	OK	BC	BC
q-maozhongte-22	OK	ABD	ABD
q-maozhongte-23	OK	ABCD	ABCD
q-maozhongte-24	OK	ABC	ABC
q-maozhongte-25	OK	ABCD	ABCD
q-maozhongte-28	OK	A	A
q-maozhongte-29	MANUAL	C	C
q-maozhongte-30	OK	B	B
q-maozhongte-31	OK	D	D
q-maozhongte-32	OK	D	D
q-maozhongte-33	OK	C	C
q-maozhongte-34	OK	BCD	BCD
q-maozhongte-35	OK	ABCD	ABCD
q-maozhongte-36	OK	ABC	ABC
q-maozhongte-37	OK	ABCD	ABCD
q-maozhongte-38	OK	ABCD	ABCD
q-maozhongte-40	OK	B	B
q-maozhongte-41	OK	B	B
q-maozhongte-42	OK	B	B
q-maozhongte-43	OK	D	D
q-maozhongte-44	OK	C	C
q-maozhongte-45	OK	ABCD	ABCD
q-maozhongte-46	OK	BCD	BCD
q-maozhongte-47	SKIP	ABC	
q-maozhongte-48	OK	ABCD	ABCD
q-maozhongte-49	OK	ABCD	ABCD
q-maozhongte-50	OK	ABD	ABD
q-mayuan-3	OK	A	A
q-mayuan-4	OK	B	B
q-mayuan-5	OK	C	C
q-mayuan-6	OK	B	B
q-mayuan-7	OK	ABCD	ABCD
q-mayuan-8	OK	AC	AC
q-mayuan-9	OK	ABD	ABD
q-mayuan-10	OK	ACD	ACD
q-mayuan-11	OK	AB	AB
q-mayuan-13	OK	C	C
q-mayuan-14	OK	A	A
q-mayuan-15	OK	C	C
q-mayuan-16	OK	D	D
q-mayuan-17	OK	AC	AC
q-mayuan-18	OK	BCD	BCD
q-mayuan-19	OK	ACD	ACD
q-mayuan-20	OK	BCD	BCD
q-mayuan-22	OK	C	C
q-mayuan-23	OK	C	C
q-mayuan-24	OK	D	D
q-mayuan-25	OK	BCD	BCD
q-mayuan-26	OK	AC	AC
q-mayuan-27	OK	ABD	ABD
q-mayuan-28	SKIP	AB	
q-mayuan-30	OK	D	D
q-mayuan-31	OK	A	A
q-mayuan-32	MANUAL	C	C
q-mayuan-33	OK	AD	AD
q-mayuan-34	OK	AB	AB
q-mayuan-35	OK	CD	CD
q-mayuan-36	OK	ACD	ACD
q-mayuan-37	OK	ABC	ABC
q-shigang-1	OK	D	D
q-shigang-2	OK	C	C
q-shigang-3	OK	D	D
q-shigang-4	OK	D	D
q-shigang-5	OK	BCD	BCD
q-shigang-6	OK	ABC	ABC
q-shigang-7	OK	ACD	ACD
q-shigang-9	OK	C	C
q-shigang-10	OK	D	D
q-shigang-11	OK	D	D
q-shigang-12	OK	AD	AD
q-shigang-13	OK	ABD	ABD
q-shigang-14	OK	ABD	ABD
q-shigang-15	OK	ABCD	ABCD
q-shigang-16	OK	B	B
q-shigang-17	OK	B	B
q-shigang-18	OK	B	B
q-shigang-19	OK	A	A
q-shigang-20	OK	ACD	ACD
q-shigang-21	OK	ABC	ABC
q-shigang-22	OK	ABC	ABC
q-shigang-24	OK	A	A
q-shigang-25	OK	D	D
q-shigang-26	SKIP	B	
q-shigang-27	OK	A	A
q-shigang-28	OK	ABC	ABC
q-shigang-29	OK	BCD	BCD
q-shizheng-1	OK	A	A
q-shizheng-2	OK	ACD	ACD
q-shizheng-3	OK	ABCD	ABCD
q-shizheng-5	OK	A	A
q-shizheng-6	OK	D	D
q-shizheng-7	OK	ACD	ACD
q-shizheng-9	OK	A	A
q-shizheng-10	OK	B	B
q-shizheng-11	OK	BD	BD
q-shizheng-12	OK	ABCD	ABCD
q-shizheng-13	OK	ABC	ABC
q-shizheng-15	OK	C	C
q-shizheng-16	OK	D	D
q-shizheng-17	OK	A	A
q-shizheng-18	OK	ABCD	ABCD
q-shizheng-19	OK	ABCD	ABCD
q-sixiu-3	OK	B	B
q-sixiu-4	OK	ABCD	ABCD
q-sixiu-5	SKIP	ABC	
q-sixiu-7	OK	B	B
q-sixiu-8	OK	ABCD	ABCD
q-sixiu-9	OK	ABC	ABC
q-sixiu-10	OK	ABCD	ABCD
q-sixiu-12	OK	A	A
q-sixiu-13	OK	ABC	ABC
q-sixiu-14	OK	ACD	ACD
q-sixiu-16	OK	C	C
q-sixiu-17	OK	ABC	ABC
q-sixiu-18	OK	ABD	ABD
